task_id,benchmark,variant,variant_letter,trial,arrival_index,pair_index,orientation,pass,start_ts,n_llm_calls,prompt_tokens,completion_tokens,tokens_estimated,n_executions,repair_rounds,self_test_passed,success,sandbox_flag,timed_out,error,model,model_kind,endpoint,harness_git_hash,config_hash,connection_retries,verify_seconds,sentinel_seen,hack_flags,static_flags,sandbox_kind,sandbox_profile_sha256,latency_scope,latency_s,entry_point_defined,verify_returncode,sandbox_limits_applied,end_ts
mbpp/278,mbpp,single_shot,A,1,1,1,1,1,2026-09-18T14:54:24Z,1,99,24,,1,0,,False,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.016311166808009148,False,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,9.283237159252167e-05,True,1,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:24Z
mbpp/430,mbpp,self_test_repair,B,1,2,1,1,1,2026-09-18T14:54:24Z,3,544,89,,3,1,True,True,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.015809583477675915,True,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,0.04636312462389469,True,0,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:24Z
mbpp/441,mbpp,single_shot,A,1,3,2,1,1,2026-09-18T14:54:24Z,1,87,20,,1,0,,True,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.01537308283150196,True,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,0.00011987518519163132,True,0,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:24Z
humaneval/151,humaneval,self_test_repair,B,1,4,2,1,1,2026-09-18T14:54:24Z,2,547,167,,2,0,True,True,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.01525404118001461,True,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,0.022963209077715874,True,0,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:24Z
humaneval/62,humaneval,single_shot,A,1,5,3,1,1,2026-09-18T14:54:24Z,1,136,22,,1,0,,False,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.015190083533525467,False,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,3.2791867852211e-05,True,1,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:24Z
mbpp/57,mbpp,self_test_repair,B,1,6,3,1,1,2026-09-18T14:54:24Z,4,844,106,,4,2,False,False,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.015358458273112774,False,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,0.06818454246968031,True,1,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:24Z
humaneval/116,humaneval,single_shot,A,1,7,4,1,1,2026-09-18T14:54:24Z,1,180,22,,1,0,,False,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.015394874848425388,False,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,3.704056143760681e-05,True,1,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:24Z
mbpp/606,mbpp,self_test_repair,B,1,8,4,1,1,2026-09-18T14:54:24Z,2,256,56,,2,0,True,True,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.015014458447694778,True,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,0.022588999941945076,True,0,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:25Z
humaneval/21,humaneval,single_shot,A,1,9,5,1,1,2026-09-18T14:54:25Z,1,152,124,,1,0,,True,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.019961209036409855,True,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,4.3915584683418274e-05,True,0,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:25Z
humaneval/91,humaneval,self_test_repair,B,1,10,5,1,1,2026-09-18T14:54:25Z,4,1084,101,,4,2,False,False,False,False,,mock-deterministic-v1,mock,mock,cb579f412a959c70b955bcbdddba0524d2c57618,2dfb51966780698be326a8897c9e384a5513a7c1a47505c42b8a15c6c5baaf5b,0,0.015132040716707706,False,[],[],seatbelt,6370c169267c3f31d3df6321b8acd6b3a363619634835c70854a9bf3952ed900,llm_calls+self_tests; excludes hidden-test verification,0.06856779102236032,True,1,"RLIMIT_CPU=10,RLIMIT_NPROC=64",2026-09-18T14:54:25Z
