cluster,kind,n_tasks,orientation,task_1,task_2,pass1_variant_task_1,pass1_variant_task_2,score_task_1,score_task_2,score_total,success_diff_task_1,success_diff_task_2,success_diff_total
pair_001,pair,2,1.0,mbpp/278,mbpp/430,single_shot,self_test_repair,-1,0,-1,0,0,0
pair_002,pair,2,1.0,mbpp/441,humaneval/151,single_shot,self_test_repair,-1,-1,-2,0,-1,-1
pair_003,pair,2,1.0,humaneval/62,mbpp/57,single_shot,self_test_repair,-1,1,0,0,1,1
pair_004,pair,2,1.0,humaneval/116,mbpp/606,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_005,pair,2,1.0,humaneval/21,humaneval/91,single_shot,self_test_repair,-1,-1,-2,0,-1,-1
pair_006,pair,2,1.0,mbpp/721,mbpp/573,single_shot,self_test_repair,0,1,1,0,1,1
pair_007,pair,2,0.0,mbpp/123,mbpp/165,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_008,pair,2,1.0,mbpp/228,mbpp/804,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_009,pair,2,1.0,humaneval/131,mbpp/414,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_010,pair,2,0.0,mbpp/746,mbpp/128,self_test_repair,single_shot,-1,-1,-2,0,0,0
pair_011,pair,2,0.0,mbpp/299,mbpp/94,self_test_repair,single_shot,0,-1,-1,0,0,0
pair_012,pair,2,0.0,mbpp/722,mbpp/635,self_test_repair,single_shot,1,-1,0,1,0,1
pair_013,pair,2,0.0,mbpp/735,mbpp/101,self_test_repair,single_shot,1,-1,0,1,0,1
pair_014,pair,2,1.0,mbpp/395,humaneval/24,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_015,pair,2,1.0,mbpp/268,mbpp/141,single_shot,self_test_repair,0,1,1,0,1,1
pair_016,pair,2,0.0,mbpp/69,mbpp/807,self_test_repair,single_shot,1,-1,0,1,0,1
pair_017,pair,2,1.0,humaneval/118,mbpp/569,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_018,pair,2,0.0,mbpp/723,mbpp/763,self_test_repair,single_shot,-1,0,-1,0,0,0
pair_019,pair,2,0.0,mbpp/172,mbpp/778,self_test_repair,single_shot,-1,-1,-2,-1,0,-1
pair_020,pair,2,1.0,mbpp/12,mbpp/605,single_shot,self_test_repair,-1,-1,-2,0,0,0
pair_021,pair,2,1.0,mbpp/592,mbpp/171,single_shot,self_test_repair,0,-1,-1,0,0,0
pair_022,pair,2,1.0,mbpp/775,humaneval/108,single_shot,self_test_repair,-1,-1,-2,0,-1,-1
