arm,agent_model,user_model,task_id,trial,tau2_seed,arrival_index,pair_index,position_in_pair,orientation,pass,block,success,reward,agent_tokens_completion,agent_tokens_prompt,n_agent_llm_calls,n_assistant_tool_calls,n_assistant_messages,n_user_messages,n_tool_messages,n_messages,duration,agent_generation_seconds,termination_reason,max_steps_hit,error,tokens_source,tokens_estimated_calls,served_models,simulation_id,start_time,end_time,source_file,config_hash
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,1,0,626729,48,24,2,1,2,1,False,0.0,463,54059,9,3,10,8,3,21,46.87566733453423,34.3161579137668,user_stop,False,,usage,0,qwen2.5-7b-instruct,4eb25642-92af-49da-8906-ff52a7be43dd,2026-09-18T13:38:44.918308,2026-09-18T13:39:31.794700,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,2,0,626729,40,20,2,1,2,1,False,0.0,6277,444782,41,13,42,29,13,84,432.34411708358675,315.628117791377,too_many_errors,False,too_many_errors,usage,0,qwen2.5-7b-instruct,b6b66070-4ed4-49a6-ba56-1d46670a9c07,2026-09-18T13:39:32.025688,2026-09-18T13:46:44.373475,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,3,0,626729,24,12,2,1,2,1,True,1.0,1334,95175,16,6,17,11,6,34,91.90025429148227,62.092708542943,user_stop,False,,usage,0,qwen2.5-7b-instruct,1ec65c01-287e-44a8-bfd5-30e266b840eb,2026-09-18T13:46:44.424425,2026-09-18T13:48:16.325832,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,4,0,626729,47,24,1,1,1,1,True,1.0,838,73114,13,5,14,9,5,28,59.098208165727556,40.11984445434064,user_stop,False,,usage,0,qwen2.5-7b-instruct,9c01455b-ded3-43b6-9c76-d484a2ffd713,2026-09-18T13:48:16.629472,2026-09-18T13:49:15.728631,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,5,0,626729,19,10,1,1,1,1,False,0.0,1851,103457,14,10,15,9,10,34,109.90699287503958,91.73928458429873,user_stop,False,,usage,0,qwen2.5-7b-instruct,21c02a82-9a6b-4daf-9f9c-c93b66e29f90,2026-09-18T13:49:15.987690,2026-09-18T13:51:05.895880,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,6,0,626729,21,11,1,0,2,1,False,,0,0,0,0,0,0,0,0,0.0,,infrastructure_error,False,infrastructure_error,usage,0,,e78f1bf1-787c-4fcb-866a-3c944fee5267,2026-09-18T16:37:59.181071,2026-09-18T16:37:59.181071,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,7,0,626729,44,22,2,0,1,1,False,0.0,488,53967,9,5,10,6,5,21,33.67762287519872,26.19491108506918,user_stop,False,,usage,0,qwen2.5-7b-instruct,0c2e21c7-3ede-4f62-ba33-40d152827aae,2026-09-18T16:37:59.241340,2026-09-18T16:38:32.920006,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,8,0,626729,20,10,2,1,2,1,False,0.0,1559,91579,16,5,17,12,5,34,84.32622500043362,70.60225987434387,user_stop,False,,usage,0,qwen2.5-7b-instruct,c590a1af-5ffd-4b1d-a81d-cba537e3494d,2026-09-18T16:38:33.170270,2026-09-18T16:39:57.497881,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,9,0,626729,2,1,2,0,1,1,False,0.0,4220,502727,50,15,51,35,15,101,307.67250495776534,211.05743566900492,max_steps,True,,usage,0,qwen2.5-7b-instruct,c6e0bd95-6b57-446e-8123-1aa9e6a5c4f6,2026-09-18T16:39:57.738989,2026-09-18T16:45:05.415985,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,10,0,626729,5,3,1,0,2,1,True,1.0,984,68340,12,5,13,8,5,26,63.94391004182398,43.14984579011798,user_stop,False,,usage,0,qwen2.5-7b-instruct,30aa0d91-7612-4c8c-8faa-75d2c2271fa4,2026-09-18T16:45:05.486244,2026-09-18T16:46:09.431147,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,11,0,626729,27,14,1,0,2,1,False,0.0,2471,108899,17,21,18,6,21,45,119.76365962531418,111.09978979080915,too_many_errors,False,too_many_errors,usage,0,qwen2.5-7b-instruct,ac54358f-c13d-44c9-8ec6-2a254cee7023,2026-09-18T16:46:09.727300,2026-09-18T16:48:09.492542,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,12,0,626729,14,7,2,0,1,1,False,0.0,1777,83533,14,11,15,9,11,35,97.49778170790523,77.62318466510624,too_many_errors,False,too_many_errors,usage,0,qwen2.5-7b-instruct,a1b8305a-225a-4391-8c4c-2975c5a9865b,2026-09-18T16:48:09.556997,2026-09-18T16:49:47.056189,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,13,0,626729,17,9,1,1,1,1,False,0.0,1661,99580,15,5,16,11,5,32,103.75950524955988,76.43191462568939,user_stop,False,,usage,0,qwen2.5-7b-instruct,03151a50-55cc-41d4-a285-2eac2ecea374,2026-09-18T16:49:47.156333,2026-09-18T16:51:30.917167,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,14,0,626729,49,25,1,1,1,1,False,0.0,4371,459478,50,25,51,25,25,101,281.0634932080284,207.31408096384257,max_steps,True,,usage,0,qwen2.5-7b-instruct,c8b664f3-9580-4eba-aab2-c92f3b82e118,2026-09-18T16:51:31.200145,2026-09-18T16:56:12.285345,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,15,0,626729,1,1,1,0,2,1,False,0.0,3246,209405,22,13,23,10,13,46,223.4112410834059,201.22762467246503,user_stop,False,,usage,0,qwen2.5-7b-instruct,2c4de407-6fea-4e65-a776-bc933b0e3da9,2026-09-18T17:11:56.980723,2026-09-18T17:15:40.395548,results/tau2_open/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
