domain,model_a,model_b,task_hash,trial_a,trial_b,seed_a,seed_b,final_sign,final_decisive_tier,terminal_tick_a,terminal_tick_b,completion_only_tick,certificate_tick,resolved_early,certificate_direction,certificate_possible_decisive_tiers,ordinal_resolution_lead,prefixes_checked
airline,o4-mini,GPT-4.1,7a95011d0bf3,0,1,626729,373753,1,cost,6,7,7,6,True,A_win,success|cost,1,8
airline,o4-mini,GPT-4.1,7a95011d0bf3,0,2,626729,361454,1,cost,6,8,8,6,True,A_win,success|cost,2,9
airline,o4-mini,GPT-4.1,7a95011d0bf3,0,3,626729,1567,-1,tools,6,6,6,6,False,B_win,tools,0,7
airline,o4-mini,GPT-4.1,7a95011d0bf3,1,0,373753,626729,1,cost,6,8,8,6,True,A_win,success|cost,2,9
airline,o4-mini,GPT-4.1,7a95011d0bf3,1,2,373753,361454,1,cost,6,8,8,6,True,A_win,success|cost,2,9
airline,o4-mini,GPT-4.1,7a95011d0bf3,1,3,373753,1567,-1,cost,6,6,6,6,False,B_win,cost,0,7
airline,o4-mini,GPT-4.1,7a95011d0bf3,2,0,361454,626729,1,cost,7,8,8,7,True,A_win,success|cost,1,9
airline,o4-mini,GPT-4.1,7a95011d0bf3,2,1,361454,373753,-1,cost,7,7,7,7,False,B_win,cost,0,8
airline,o4-mini,GPT-4.1,7a95011d0bf3,2,3,361454,1567,-1,cost,7,6,7,6,True,B_win,success|cost,1,8
airline,o4-mini,GPT-4.1,7a95011d0bf3,3,0,1567,626729,1,cost,7,8,8,7,True,A_win,success|cost,1,9
airline,o4-mini,GPT-4.1,7a95011d0bf3,3,1,1567,373753,1,cost,7,7,7,7,False,A_win,cost,0,8
airline,o4-mini,GPT-4.1,7a95011d0bf3,3,2,1567,361454,1,cost,7,8,8,7,True,A_win,success|cost,1,9
airline,o4-mini,GPT-4.1,481729b1ddf7,0,1,626729,373753,0,tie,14,9,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,481729b1ddf7,0,2,626729,361454,-1,success,14,8,14,8,True,B_win,success|cost,6,15
airline,o4-mini,GPT-4.1,481729b1ddf7,0,3,626729,1567,0,tie,14,9,14,14,False,tie,tie,0,15
airline,o4-mini,GPT-4.1,481729b1ddf7,1,0,373753,626729,1,success,11,10,11,11,False,A_win,success,0,12
airline,o4-mini,GPT-4.1,481729b1ddf7,1,2,373753,361454,-1,cost,11,8,11,8,True,B_win,success|cost,3,12
airline,o4-mini,GPT-4.1,481729b1ddf7,1,3,373753,1567,1,success,11,9,11,11,False,A_win,success,0,12
airline,o4-mini,GPT-4.1,481729b1ddf7,2,0,361454,626729,1,success,11,10,11,11,False,A_win,success,0,12
airline,o4-mini,GPT-4.1,481729b1ddf7,2,1,361454,373753,1,success,11,9,11,11,False,A_win,success,0,12
airline,o4-mini,GPT-4.1,481729b1ddf7,2,3,361454,1567,1,success,11,9,11,11,False,A_win,success,0,12
airline,o4-mini,GPT-4.1,481729b1ddf7,3,0,1567,626729,1,success,17,10,17,17,False,A_win,success,0,18
airline,o4-mini,GPT-4.1,481729b1ddf7,3,1,1567,373753,1,success,17,9,17,17,False,A_win,success,0,18
airline,o4-mini,GPT-4.1,481729b1ddf7,3,2,1567,361454,-1,cost,17,8,17,8,True,B_win,success|cost,9,18
airline,o4-mini,GPT-4.1,b1fa34344bf8,0,1,626729,373753,1,success,12,13,13,12,True,A_win,success|cost,1,14
airline,o4-mini,GPT-4.1,b1fa34344bf8,0,2,626729,361454,1,success,12,12,12,12,False,A_win,success,0,13
airline,o4-mini,GPT-4.1,b1fa34344bf8,0,3,626729,1567,1,success,12,14,14,12,True,A_win,success|cost|tools,2,15
airline,o4-mini,GPT-4.1,b1fa34344bf8,1,0,373753,626729,-1,cost,12,13,13,13,False,B_win,cost,0,14
airline,o4-mini,GPT-4.1,b1fa34344bf8,1,2,373753,361454,1,success,12,12,12,12,False,A_win,success,0,13
airline,o4-mini,GPT-4.1,b1fa34344bf8,1,3,373753,1567,1,success,12,14,14,13,True,A_win,success|cost,1,15
airline,o4-mini,GPT-4.1,b1fa34344bf8,2,0,361454,626729,1,tools,12,13,13,12,True,A_win,success|cost|tools,1,14
airline,o4-mini,GPT-4.1,b1fa34344bf8,2,1,361454,373753,1,success,12,13,13,12,True,A_win,success|cost,1,14
airline,o4-mini,GPT-4.1,b1fa34344bf8,2,3,361454,1567,1,success,12,14,14,12,True,A_win,success|cost|tools,2,15
airline,o4-mini,GPT-4.1,b1fa34344bf8,3,0,1567,626729,1,cost,10,13,13,12,True,A_win,success|cost,1,14
airline,o4-mini,GPT-4.1,b1fa34344bf8,3,1,1567,373753,1,success,10,13,13,10,True,A_win,success|cost|tools,3,14
airline,o4-mini,GPT-4.1,b1fa34344bf8,3,2,1567,361454,1,success,10,12,12,11,True,A_win,success|cost|tools,1,13
airline,o4-mini,GPT-4.1,0cce58552430,0,1,626729,373753,0,tie,8,8,8,8,False,tie,tie,0,9
airline,o4-mini,GPT-4.1,0cce58552430,0,2,626729,361454,-1,cost,8,8,8,8,False,B_win,cost,0,9
airline,o4-mini,GPT-4.1,0cce58552430,0,3,626729,1567,-1,cost,8,8,8,8,False,B_win,cost,0,9
airline,o4-mini,GPT-4.1,0cce58552430,1,0,373753,626729,1,cost,8,8,8,8,False,A_win,cost,0,9
