arm,agent_model,user_model,task_id,trial,tau2_seed,arrival_index,pair_index,position_in_pair,orientation,pass,block,success,reward,agent_tokens_completion,agent_tokens_prompt,n_agent_llm_calls,n_assistant_tool_calls,n_assistant_messages,n_user_messages,n_tool_messages,n_messages,duration,agent_generation_seconds,termination_reason,max_steps_hit,error,tokens_source,tokens_estimated_calls,served_models,simulation_id,start_time,end_time,source_file,config_hash
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,1,0,626729,48,24,2,1,2,1,False,0.0,785,59595,11,3,12,11,3,26,92.38524126911229,47.46156619450809,user_stop,False,,usage,0,qwen2.5-7b-instruct,265342b4156c4e808ba256b268d0dae2,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,2,0,626729,40,20,2,1,2,1,False,0.0,612,52603,10,3,11,10,3,24,176.4194186805833,53.18441840400949,user_stop,False,,usage,0,qwen2.5-7b-instruct,5901bec2c80345afab5015d7643a1114,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,3,0,626729,24,12,2,1,2,1,False,0.0,663,52868,9,6,10,9,6,25,149.54186992594356,51.6913519308346,max_steps,True,,usage,0,qwen2.5-7b-instruct,758855acdb074182929c652b834fe39f,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,4,0,626729,47,24,1,1,1,1,False,0.0,794,57112,10,7,11,10,7,28,162.6644846097887,45.211689511617784,max_steps,True,,usage,0,qwen2.5-7b-instruct,50a54a1245514e05b1093fe6d908f111,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,5,0,626729,19,10,1,1,1,1,True,1.0,1008,77073,13,5,14,13,5,32,105.69476949733755,65.26895907582971,user_stop,False,,usage,0,qwen2.5-7b-instruct,9cb1a65944474ab2aceb7a25ebab4792,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,6,0,626729,21,11,1,0,2,1,True,1.0,454,39071,7,4,8,7,4,19,204.4878008585651,24.545217528742235,user_stop,False,,usage,0,qwen2.5-7b-instruct,d3cb7dca31bd41aaa01d0f50c2ac9cd1,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,7,0,626729,44,22,2,0,1,1,False,0.0,450,32560,5,1,6,5,1,12,289.7805545777873,13.260042955815337,user_stop,False,,usage,0,qwen2.5-7b-instruct,0f2ccec7d6134a5998055cc7842bb6ea,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,8,0,626729,20,10,2,1,2,1,False,0.0,398,29449,5,2,6,5,2,13,205.17257922582095,17.499551840618995,user_stop,False,,usage,0,qwen2.5-7b-instruct,790af8d2ab3943fd93cc035a58344d7d,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,9,0,626729,2,1,2,0,1,1,False,0.0,838,71315,13,5,14,13,5,32,209.14986288958855,53.54959307796833,user_stop,False,,usage,0,qwen2.5-7b-instruct,1952dea671c84c69a67d3374e6099ee5,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
A,openai/qwen2.5-7b-instruct,openai/qwen2.5-7b-instruct,10,0,626729,5,3,1,0,2,1,False,0.0,810,55986,10,2,11,10,2,23,90.78944865118503,44.56406646565473,user_stop,False,,usage,0,qwen2.5-7b-instruct,5a56409953ff4b7b82066203ad71b86f,2026-09-18T16:56:39Z,2026-09-18T16:56:39Z,results/tau2_open/dryrun/raw/tau2_open_armA.json,347b7bbdd8b24ef73f8e7f4047625a7d5cd7ec56d7a9e054c6efbdc605122c58
