family,domain,model,task_id,trial,seed,success,cost,steps,duration,assistant_messages,termination,repository
tau2,airline,Claude-3.7,3,0,626729,1.0,0.118782,3,29.316879875004815,7,user_stop,
tau2,airline,Claude-3.7,0,0,626729,1.0,0.09863100000000001,2,31.520331249994342,6,user_stop,
tau2,airline,Claude-3.7,1,0,626729,0.0,0.27514799999999995,7,46.84740449999663,13,user_stop,
tau2,airline,Claude-3.7,2,0,626729,1.0,0.338547,9,61.57773749999615,16,user_stop,
tau2,airline,Claude-3.7,4,0,626729,1.0,0.39536400000000005,9,78.22340558299766,17,user_stop,
tau2,airline,Claude-3.7,5,0,626729,0.0,0.276516,7,54.50037545899977,13,user_stop,
tau2,airline,Claude-3.7,7,0,626729,0.0,0.465237,13,68.99911120800243,18,user_stop,
tau2,airline,Claude-3.7,6,0,626729,1.0,0.364488,6,84.51197412500187,16,user_stop,
tau2,airline,Claude-3.7,8,0,626729,1.0,0.315207,8,57.99764649999997,14,user_stop,
tau2,airline,Claude-3.7,9,0,626729,0.0,0.245343,7,47.397918333001144,12,user_stop,
tau2,airline,Claude-3.7,13,0,626729,1.0,0.11808300000000001,2,30.760302292001143,7,user_stop,
tau2,airline,Claude-3.7,11,0,626729,1.0,0.28103700000000004,8,48.92360666599416,13,user_stop,
tau2,airline,Claude-3.7,10,0,626729,1.0,0.631704,11,114.27979554200283,22,user_stop,
tau2,airline,Claude-3.7,14,0,626729,0.0,0.5023770000000001,13,80.17202029199689,20,user_stop,
tau2,airline,Claude-3.7,16,0,626729,0.0,0.252324,6,46.021665332998964,11,user_stop,
tau2,airline,Claude-3.7,15,0,626729,0.0,0.37828199999999995,8,70.22561470799701,14,user_stop,
tau2,airline,Claude-3.7,19,0,626729,1.0,0.191661,5,42.26183633299661,10,user_stop,
tau2,airline,Claude-3.7,17,0,626729,1.0,0.255975,8,56.38908966699819,12,user_stop,
tau2,airline,Claude-3.7,20,0,626729,1.0,0.456963,9,80.91192179099744,16,user_stop,
tau2,airline,Claude-3.7,22,0,626729,0.0,0.341655,9,57.864332832999935,15,user_stop,
tau2,airline,Claude-3.7,21,0,626729,0.0,0.443652,12,68.67966058399907,17,user_stop,
tau2,airline,Claude-3.7,12,0,626729,0.0,1.9211069999999997,41,221.2359740000029,52,user_stop,
tau2,airline,Claude-3.7,18,0,626729,1.0,1.217679,30,148.69062029199995,35,user_stop,
tau2,airline,Claude-3.7,26,0,626729,0.0,0.163617,4,32.366891208002926,9,user_stop,
tau2,airline,Claude-3.7,25,0,626729,1.0,0.29219100000000003,6,59.33786570899974,13,user_stop,
tau2,airline,Claude-3.7,28,0,626729,1.0,0.14703,3,35.479964457997994,8,user_stop,
tau2,airline,Claude-3.7,24,0,626729,0.0,0.48974999999999996,11,92.35845300000074,20,user_stop,
tau2,airline,Claude-3.7,27,0,626729,1.0,0.3991680000000001,12,63.62607545799983,17,user_stop,
tau2,airline,Claude-3.7,23,0,626729,0.0,0.6439889999999999,13,109.38625708299514,21,user_stop,
tau2,airline,Claude-3.7,29,0,626729,1.0,0.23756400000000003,6,54.73438866699871,11,user_stop,
tau2,airline,Claude-3.7,30,0,626729,1.0,0.20121,4,47.07714612499694,10,user_stop,
tau2,airline,Claude-3.7,31,0,626729,1.0,0.249558,6,45.467017957998905,12,user_stop,
tau2,airline,Claude-3.7,34,0,626729,1.0,0.245853,6,50.93421437499637,12,user_stop,
tau2,airline,Claude-3.7,36,0,626729,0.0,0.24844499999999997,5,43.126350333004666,9,user_stop,
tau2,airline,Claude-3.7,33,0,626729,0.0,0.409836,10,82.1473946249971,16,user_stop,
tau2,airline,Claude-3.7,35,0,626729,0.0,0.361149,6,68.03571845799888,15,user_stop,
tau2,airline,Claude-3.7,32,0,626729,0.0,0.45836999999999994,9,98.67582850000326,18,user_stop,
tau2,airline,Claude-3.7,40,0,626729,1.0,0.11733600000000001,3,21.85332891700091,7,user_stop,
tau2,airline,Claude-3.7,37,0,626729,0.0,0.357816,10,62.53337283300061,16,user_stop,
tau2,airline,Claude-3.7,38,0,626729,1.0,0.368643,10,61.720342500004335,17,user_stop,
tau2,airline,Claude-3.7,39,0,626729,0.0,0.418566,13,60.823450415999105,17,user_stop,
tau2,airline,Claude-3.7,41,0,626729,0.0,0.36831600000000003,10,51.51392237500113,16,user_stop,
tau2,airline,Claude-3.7,46,0,626729,1.0,0.09762599999999999,2,24.515133875000174,6,user_stop,
